off,off,off,unknown,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on,on
off,off,unknown,on,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on,on
off,unknown,on,on,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on,on
unknown,on,on,off,off,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on
on,on,unknown,off,off,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on
on,on,unknown,off,off,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on
on,unknown,off,off,off,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on
unknown,off,off,off,unknown,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on,on
off,off,off,unknown,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on,on
off,off,off,unknown,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on,on
off,off,unknown,on,on,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on
unknown,on,on,off,off,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on
on,on,unknown,off,off,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on
on,off,off,off,off,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on
unknown,off,off,off,off,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on,on
off,off,off,off,unknown,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on,on
off,off,off,unknown,on,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on
off,off,unknown,on,on,on,on,on,on,on,on,on,on,on,on,on,on,unknown,off,unknown,on,on,on,on
